IncomeGroup,Air Pollution (PM2.5),Cholera,Life Expectancy,Malaria
High income,0.30872628882382813,0.27665916638514404,-0.051172400030397344,-0.38369017409061035
Low income,0.004366678564649337,-0.010126731292001154,0.5246678840810319,-0.38024245872305434
Lower middle income,-0.02022470902081716,-0.11846832195204483,0.4475951972185389,-0.32554707109413566
Upper middle income,0.28044630879048105,-0.2716959997716148,-0.14182707046327186,0.03422794081966494
