Outcome,CO2_coefficient,CO2_pvalue,GDP_coefficient,GDP_pvalue,R_squared,N_obs
malaria,-2.966911337210689,7.954591953392223e-122,-0.6174075806347783,1.2956084627019492e-13,0.48723048479033637,2605
cholera,-0.7312246283033833,0.0002242003657793635,-0.0769850327849435,0.49137513347093664,0.2707310161022948,213
air_pollution,0.25455738629657737,7.736821712142594e-46,-0.2809267590694955,2.9333085529469568e-279,0.2612789745068568,6209
life_expectancy,0.5151593099750391,0.0007904683176369919,4.272465939999093,0.0,0.6401894603396214,3946
