Outcome,VIF_co2,VIF_gdp
malaria,2.8165887779288084,2.8165887779288084
cholera,7.567564688036517,7.567564688036517
air_pollution,2.4615961644425486,2.4615961644425486
life_expectancy,3.2283237724110005,3.2283237724110005
